review_id	sentiment	label_id	input_ids	review_body	date
12111	0	1	[0, 574, 12677, 5, 1114, 9, 42, 299, 5579, 4297, 24, 95, 351, 75, 173, 13, 162, 4, 24, 18, 269, 380, 4, 939, 437, 195, 108, 246, 113, 8, 10529, 23246, 4, 10, 650, 197, 28, 2051, 1437, 53, 939, 437, 7358, 11, 42, 4, 5, 124, 16, 1256, 36, 118, 1381, 24, 15, 19, 10, 1104, 740, 5602, 43, 1437, 53, 24, 1326, 182, 21592, 15, 162, 4, 1381, 7, 645, 5, 3023, 29, 1437, 53, 24, 18, 1088, 66, 4, 350, 1099, 4, 21, 10, 11962, 1114, 4, 45, 350, 7174, 13, 1035, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"Loved the idea of this top--but it just won't work for me. it's really big. i'm 5'3"" and 125 lbs. a small should be fine  but i'm swimming in this. the back is pretty (i tried it on with a white cami)  but it looks very maternity on me. tried to order the xs  but it's sold out. too bad. was a cute idea. not too thin for summer."	2021-07-01T09:34:25Z
11818	1	2	[0, 100, 657, 2498, 42, 7, 3267, 8, 24, 18, 269, 1256, 328, 5, 22990, 16, 7174, 8, 15651, 1437, 98, 24, 64, 120, 4543, 11290, 2773, 1437, 53, 24, 18, 1256, 3473, 4, 5, 129, 631, 14, 115, 146, 24, 55, 3473, 16, 114, 5, 1468, 12213, 5, 11044, 21, 4600, 19780, 1437, 600, 24, 1979, 75, 28, 25, 8440, 4, 1374, 1437, 939, 206, 24, 18, 10, 182, 2721, 28033, 1496, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I love wearing this to bed and it's really pretty! the lace is thin and delicate  so it can get snagged easily  but it's pretty comfortable. the only thing that could make it more comfortable is if the material underneath the bust was looser  though it wouldn't be as supportive. overall  i think it's a very beautiful chemise!	2021-07-01T09:34:25Z
5197	0	1	[0, 133, 1468, 9, 5, 3588, 16, 12058, 1437, 53, 5, 3124, 31670, 13868, 1517, 203, 350, 614, 223, 5, 3701, 4, 11, 1285, 1437, 939, 524, 5342, 4007, 197, 3215, 8, 5, 847, 420, 5, 7050, 16, 350, 6787, 1437, 17902, 110, 22, 611, 13552, 11954, 113, 11, 41, 29747, 24203, 169, 4, 42, 16, 12058, 15, 5, 1421, 1437, 98, 939, 74, 224, 6787, 197, 3215, 1972, 197, 645, 10, 1836, 159, 8, 492, 24, 10, 738, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"The material of the dress is gorgeous  but the armholes droop much too low under the arms. in addition  i am fairly broad shouldered and the cut across the chest is too narrow  exposing your ""chicken wings"" in an unflattering way. this is gorgeous on the model  so i would say narrow shouldered girls should order a size down and give it a shot!"	2021-07-01T09:34:25Z
9200	1	2	[0, 713, 3588, 16, 13867, 4, 939, 5328, 24, 7, 10, 29224, 13738, 537, 8, 1299, 101, 5, 12138, 459, 9, 5, 1011, 4, 127, 3588, 3514, 35413, 198, 162, 25, 939, 17281, 15, 5, 3836, 1929, 4, 423, 1437, 939, 19932, 10, 3055, 27224, 12, 3923, 254, 70, 81, 5, 760, 4, 939, 21, 11521, 1437, 53, 24, 818, 11764, 16380, 8, 89, 32, 117, 36626, 16506, 47, 64, 75, 190, 1137, 939, 19932, 328, 24, 16, 865, 12, 31441, 868, 1437, 61, 16, 372, 25, 157, 328, 939, 524, 204, 108, 1225, 8, 727, 29882, 4, 5, 37863, 4182, 2564, 101, 10, 19015, 4, 1437, 2200, 5940, 328, 143, 97, 3588, 74, 33, 57, 19750, 53, 42, 65, 21, 5909, 13867, 4, 2, 1, 1, 1]	This dress is magical. i wore it to a christmas party and felt like the belle of the ball. my dress swirled around me as i spun on the dance floor. later  i spilled a tequila-ginger all over the front. i was devastated  but it almost instantly dried and there are no stains!!! you can't even tell i spilled! it is hand-washable  which is great as well! i am 4'11 and 100lbs. the xxsp fit like a glove.  highly recommend! any other dress would have been ruined but this one was literally magical.	2021-07-01T09:34:25Z
12056	-1	0	[0, 36391, 1437, 13350, 20745, 53, 9668, 62, 11, 5, 760, 4, 40, 671, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Fun  sexy underwear but rides up in the front. will return	2021-07-01T09:34:25Z
6496	-1	0	[0, 100, 3584, 42, 11, 5, 5718, 3023, 29, 4, 24, 16, 182, 3473, 1437, 53, 2778, 192, 12, 11672, 4, 47, 1017, 33, 7, 3568, 10, 9215, 50, 402, 12213, 24, 1437, 53, 939, 437, 45, 686, 99, 74, 173, 716, 15, 5, 2496, 1437, 8, 190, 114, 939, 5328, 10, 18052, 16979, 11689, 24, 21, 202, 192, 12, 11672, 4, 9574, 939, 56, 7, 671, 24, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I purchased this in the yellow xs. it is very comfortable  but extremely see-through. you'd have to wear a slip or something underneath it  but i'm not sure what would work based on the style  and even if i wore a strapless bra it was still see-through. unfortunately i had to return it.	2021-07-01T09:34:25Z
3481	0	1	[0, 100, 269, 770, 7, 101, 209, 4, 51, 214, 3793, 1437, 251, 615, 13, 195, 108, 398, 112, 73, 176, 8, 10, 2579, 3195, 847, 5, 1430, 16, 1341, 614, 8, 5, 28097, 181, 16368, 66, 11, 10, 7735, 169, 4, 33, 7, 671, 25606, 1640, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I really wanted to like these. they're soft  long enough for 5'8 1/2 and a nice color cut the rise is quite low and the hips puffed out in a weird way. have to return ;(	2021-07-01T09:34:25Z
10000	-1	0	[0, 100, 794, 42, 182, 6399, 804, 359, 802, 24, 21, 98, 1256, 4, 11, 621, 1437, 5, 6399, 1302, 2342, 38755, 4, 5, 14893, 356, 25, 600, 51, 1017, 1136, 160, 4, 939, 67, 399, 75, 101, 5, 847, 9, 5, 6399, 4, 24, 2551, 7, 28, 15976, 15, 299, 359, 4600, 19780, 15, 5, 2576, 4, 56, 7, 671, 4, 939, 1705, 75, 11071, 5, 701, 19, 5, 1318, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I saw this very shirt online & thought it was so pretty. in person  the shirt seems flimsy. the buttons look as though they'd fall off. i also didn't like the cut of the shirt. it seemed to be tighter on top & looser on the bottom. had to return. i couldn't justify the cost with the quality.	2021-07-01T09:34:25Z
18457	1	2	[0, 713, 11962, 299, 16, 156, 11, 5, 201, 102, 12, 1423, 857, 328, 24, 16, 10, 34203, 847, 8, 1326, 372, 223, 20200, 4, 939, 6573, 5, 28079, 3195, 8, 619, 9, 5, 10199, 4, 5, 909, 8, 1104, 21, 11962, 1437, 53, 10601, 34374, 8, 1299, 13116, 4, 939, 524, 1836, 5278, 73, 4567, 1437, 2631, 438, 8, 439, 19, 5, 650, 4, 740, 20734, 16, 23889, 8, 64, 28, 25845, 7, 489, 47, 3279, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This cute top is made in the usa- yay! it is a flattering cut and looks great under jackets. i prefer the ivory color and feel of the fabric. the black and white was cute  but hung strangely and felt stiff. i am size sm/med  34c and went with the small. cowl is cozy and can be styled to keep you warm.	2021-07-01T09:34:25Z
8869	1	2	[0, 713, 28026, 299, 10698, 1528, 7, 1836, 4, 5, 2496, 16, 24037, 8, 11962, 4, 5, 1907, 9, 10199, 16, 2579, 4, 939, 657, 5, 1521, 9, 5, 124, 4, 939, 74, 2299, 5940, 24, 4, 24, 18, 966, 5, 418, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This layered top fits true to size. the style is trendy and cute. the type of fabric is nice. i love the design of the back. i would definitely recommend it. it's worth the money.	2021-07-01T09:34:25Z
