review_id	sentiment	label_id	input_ids	review_body	date
8682	1	2	[0, 713, 23204, 16, 12058, 328, 5, 3195, 16, 10, 1528, 228, 10432, 15673, 61, 269, 7671, 162, 7, 24, 4, 5, 10342, 21764, 32, 10, 2579, 464, 4, 939, 33, 182, 251, 3701, 8, 51, 2564, 6683, 4, 939, 115, 3568, 42, 23204, 66, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This sweater is gorgeous! the color is a true periwinkle which really attracted me to it. the bell sleeves are a nice change. i have very long arms and they fit perfectly. i could wear this sweater out.	2021-07-01T09:34:25Z
17417	0	1	[0, 100, 98, 770, 7, 657, 42, 3588, 1437, 1135, 5, 6173, 4, 77, 939, 1357, 5, 3737, 939, 1064, 11, 657, 19, 5, 10199, 4, 5, 5780, 16, 3668, 2721, 8, 5, 10199, 2653, 20755, 4, 5, 3588, 2564, 6683, 53, 89, 21, 95, 350, 203, 10199, 36, 12963, 600, 939, 3668, 2638, 5, 10199, 322, 5, 12741, 37829, 21, 95, 350, 203, 4, 939, 524, 3357, 24, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I so wanted to love this dress  despite the reviews. when i opened the package i fell in love with the fabric. the print is absolutely beautiful and the fabric feels luxurious. the dress fit perfectly but there was just too much fabric (even though i absolutely loved the fabric). the flowing overlay was just too much. i am returning it.	2021-07-01T09:34:25Z
18300	1	2	[0, 100, 524, 3668, 23311, 7, 27115, 2857, 4, 98, 1437, 77, 939, 794, 42, 15, 1392, 1437, 19, 41, 1823, 389, 207, 160, 1437, 939, 439, 13, 24, 4, 939, 437, 7785, 939, 222, 328, 24, 18, 3668, 2721, 4, 939, 657, 5, 9375, 33953, 8117, 1437, 5, 20280, 12, 4082, 1905, 36, 5525, 12405, 43, 1437, 8, 5, 3318, 124, 4, 98, 11962, 328, 1437, 114, 47, 214, 4716, 1459, 101, 162, 1437, 600, 1437, 47, 189, 236, 7, 3568, 402, 12213, 5579, 405, 473, 847, 10, 828, 614, 11, 5, 7050, 443, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I am absolutely addicted to tunics. so  when i saw this on sale  with an extra 30% off  i went for it. i'm glad i did! it's absolutely beautiful. i love the opposing stripe patterns  the hi-lo feature (very subtle)  and the tie back. so cute!  if you're petite like me  though  you may want to wear something underneath--it does cut a bit low in the chest area.	2021-07-01T09:34:25Z
1579	0	1	[0, 100, 21, 2283, 7, 860, 402, 30, 42, 6004, 8, 1276, 7, 645, 1836, 739, 4, 9574, 1437, 42, 299, 95, 1415, 182, 8372, 4, 11962, 31, 5, 760, 53, 24, 11954, 66, 11, 5, 124, 147, 5, 21764, 972, 5, 3701, 4, 5, 10199, 817, 41, 8372, 4202, 1116, 11, 14, 443, 4, 939, 109, 33, 10, 739, 11044, 8, 24, 399, 75, 2999, 4558, 11, 5, 760, 4, 939, 421, 24, 7, 28, 3793, 8, 385, 31766, 219, 53, 5, 13178, 2653, 182, 38667, 8, 630, 75, 385, 31766, 157, 4, 24, 2913, 127, 639, 11, 124, 4, 9574, 24, 156, 162, 356, 1810, 31, 5, 526, 1217, 4, 939, 2489, 705, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I was excited to try something by this designer and decided to order size large. unfortunately  this top just looked very odd. cute from the front but it wings out in the back where the sleeves meet the arms. the fabric makes an odd poof in that area. i do have a large bust and it didn't pull anywhere in the front. i expected it to be soft and drapey but the cotton feels very coarse and doesn't drape well. it covered my behind in back. unfortunately it made me look wide from the side view. i hav	2021-07-01T09:34:25Z
754	1	2	[0, 42510, 3215, 42, 19, 10, 1855, 25339, 23204, 8, 10, 1763, 9, 9090, 4, 24, 64, 28, 614, 762, 50, 7001, 62, 19, 10, 1763, 9, 8872, 1437, 3228, 12, 35435, 6948, 45, 95, 12577, 4, 24, 947, 10431, 3416, 131, 29, 27360, 1437, 33205, 1437, 8, 17545, 12846, 939, 2162, 5, 94, 65, 11, 5, 1400, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Layered this with a chunky sweater and a pair of kicks. it can be low key or dressed up with a pair of heels  multi-functionality not just occasional. it&#39;s feminine  funky  and fabulous!! i bought the last one in the store!	2021-07-01T09:34:25Z
10939	-1	0	[0, 133, 5780, 8, 10199, 32, 372, 1437, 53, 42, 3588, 34, 8372, 1663, 1437, 50, 2085, 939, 33, 41, 8372, 1663, 4, 6992, 1437, 939, 437, 195, 12, 245, 1437, 9832, 10529, 12, 11343, 1437, 2491, 417, 4, 939, 2740, 5, 650, 8, 24, 2564, 1969, 62, 299, 8, 11, 5, 3701, 111, 53, 5, 696, 21, 11, 5, 28097, 4, 939, 437, 6152, 227, 7714, 8, 5350, 11454, 4, 5, 16576, 1326, 55, 10, 12, 1902, 11, 5, 1345, 1437, 53, 24, 18, 888, 847, 1256, 1359, 4, 8968, 1178, 74, 33, 1147, 1437, 53, 939, 437, 45, 59, 7, 3568, 8968, 1178, 70, 183, 11, 10, 173, 73, 20363, 5564, 3588, 1437, 939, 206, 10, 4761, 74, 146, 5, 299, 350, 380, 1437, 98, 2]	The print and fabric are great  but this dress has odd construction  or maybe i have an odd construction. anyway  i'm 5-5  weigh 125-130  36d. i ordered the small and it fit perfect up top and in the arms - but the issue was in the hips. i'm somewhere between athletic and curvy. the skirt looks more a-line in the photo  but it's actually cut pretty straight. spanx would have helped  but i'm not about to wear spanx all day in a work/casual dress  i think a medium would make the top too big  so i	2021-07-01T09:34:25Z
16849	-1	0	[0, 100, 1017, 57, 2445, 7, 31237, 62, 42, 13855, 6439, 25, 24, 1326, 98, 11962, 804, 1437, 98, 77, 24, 439, 15, 1392, 939, 2740, 24, 235, 409, 4, 157, 939, 21, 12826, 5779, 4, 939, 2854, 19, 103, 9, 5, 97, 34910, 1437, 5, 2564, 16, 8372, 1437, 1307, 15, 299, 8, 350, 41783, 15, 5, 2576, 4, 145, 156, 9, 2342, 38755, 22288, 24, 34, 117, 492, 8, 399, 75, 6713, 157, 15, 127, 5350, 11454, 809, 1437, 145, 350, 7082, 11, 103, 911, 8, 350, 41783, 11, 643, 4, 67, 5, 299, 16, 26370, 21732, 150, 5, 2576, 965, 75, 4, 5, 1468, 16, 7174, 8, 8, 24, 2299, 965, 75, 239, 1177, 13098, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I'd been waiting to snatch up this jumpsuit as it looks so cute online  so when it went on sale i ordered it right away. well i was thoroughly disappointed. i agree with some of the other reviewers  the fit is odd  huge on top and too snug on the bottom. being made of flimsy silk it has no give and didn't hang well on my curvy body  being too loose in some areas and too snug in others. also the top is embroidered while the bottom isn't. the material is thin and and it definitely isn't high enoug	2021-07-01T09:34:25Z
12166	-1	0	[0, 100, 657, 5, 6184, 2329, 282, 3195, 23358, 1437, 53, 1437, 26388, 326, 269, 2342, 5109, 154, 15, 162, 4, 350, 203, 10199, 4, 939, 1299, 101, 939, 21, 667, 7, 7433, 885, 5971, 2364, 50, 6690, 50, 2498, 10, 8562, 257, 4, 6992, 1437, 45, 13, 162, 1437, 53, 643, 429, 5831, 885, 26992, 7, 860, 11, 403, 24, 21, 95, 162, 734, 350, 1099, 4, 1437, 5933, 21, 7297, 11, 40338, 415, 1836, 600, 1437, 45, 350, 251, 4, 95, 350, 1810, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I love the pattern adn color combo  but  wow t really flatering on me. too much fabric. i felt like i was trying to hide wight gain or pregnancy or wearing a mumu. anyway  not for me  but others might toll wnat to try in case it was just me... too bad.  length was decent in regulat size though  not too long. just too wide.	2021-07-01T09:34:25Z
13586	1	2	[0, 4528, 32, 127, 5548, 3581, 9304, 4, 5, 13977, 1971, 15383, 12935, 19, 358, 10397, 190, 396, 27402, 70, 5, 169, 15, 614, 4, 939, 6329, 3568, 10, 650, 8, 1249, 62, 562, 5, 739, 98, 5, 13977, 1971, 399, 75, 847, 11, 127, 2380, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	These are my favourite sleep pants. the waist band shrinks with every wash even without drying all the way on low. i normally wear a small and ended up getting the large so the waist band didn't cut in my sides.	2021-07-01T09:34:25Z
11982	1	2	[0, 100, 657, 42, 27115, 636, 4, 939, 524, 3700, 41, 37863, 29, 4716, 1459, 1437, 98, 939, 197, 33, 684, 14, 5, 1675, 3023, 29, 74, 28, 350, 739, 1437, 53, 939, 362, 10, 778, 15, 24, 4, 9574, 24, 21, 1437, 11, 754, 1437, 203, 350, 739, 4, 24, 16, 350, 1099, 142, 939, 3668, 657, 24, 4, 5, 10199, 16, 98, 41242, 3793, 8, 3137, 24382, 4, 939, 2740, 24, 11, 5, 2440, 1437, 8, 24, 16, 39083, 906, 87, 7092, 4, 42, 16, 10, 372, 3588, 13, 5, 4105, 50, 3716, 12, 3730, 50, 95, 13682, 198, 4, 114, 47, 697, 11, 10, 2131, 2147, 50, 185, 3279, 12, 21693, 28177, 1437, 939, 2200, 5940, 42, 4, 24, 1239, 62, 5030, 2, 1, 1]	I love this tunic. i am typically an xxs petite  so i should have known that the regular xs would be too large  but i took a chance on it. unfortunately it was  in fact  much too large. it is too bad because i absolutely love it. the fabric is soooo soft and comfy. i ordered it in the blue  and it is prettier than pictured. this is a great dress for the beach or pool-side or just knocking around. if you live in a hot climate or take warm-weather vacations  i highly recommend this. it takes up ve	2021-07-01T09:34:25Z
